age,gender,region,tenure_years,annual_income,credit_score,account_balance,monthly_salary_deposit,avg_monthly_spend,num_products,has_credit_card,has_mortgage,has_personal_loan,has_investment_account,credit_card_monthly_usage,mobile_app_logins_per_month,online_banking_logins_per_month,branch_visits_per_quarter,customer_service_calls,complaints_last_12m,late_payment_count,balance_change_6m_pct,transaction_count_monthly,digital_engagement_score,churn
39,Female,Quebec,11,142152.39,671,45374.44,10634.17,1388.8,2,1,0,0,0,2607.14,11,18,7,1,1,1,10.17,28,13.45,0
30,Male,Alberta,14,65732.45,709,47586.83,6202.08,2469.94,1,1,0,0,0,3337.25,8,15,0,2,0,0,27.0,39,10.45,0
72,Male,Ontario,3,83044.9,580,64299.71,6769.82,4454.22,1,1,0,0,0,1747.06,10,22,2,2,1,0,1.23,33,14.2,1
38,Male,Quebec,4,86459.33,560,31462.45,7016.55,2664.15,1,0,0,1,1,0.0,11,28,2,3,1,0,1.47,34,16.95,0
57,Female,Quebec,6,79997.66,637,31643.2,6506.19,1392.41,1,0,0,0,0,0.0,11,25,3,0,0,1,13.69,34,15.9,0
40,Male,Ontario,7,110290.59,683,43817.52,9647.09,3580.22,3,1,0,0,0,1611.02,38,3,8,2,0,2,-5.79,21,25.75,0
47,Female,Ontario,4,59364.23,577,0.0,4531.1,3206.47,1,1,0,1,1,3302.64,12,16,5,5,0,0,12.04,19,13.4,0
59,Male,Quebec,2,45020.56,703,30631.15,3156.74,1767.91,4,1,0,0,0,1236.16,43,15,2,0,0,0,-16.65,30,33.2,0
48,Male,British Columbia,2,54229.67,802,0.0,5234.21,1285.81,1,0,1,0,0,0.0,11,29,7,2,0,0,5.76,37,17.3,0
34,Female,Quebec,15,34380.81,850,34458.72,1744.61,1304.57,2,1,0,0,1,2897.27,30,31,2,2,0,0,-3.54,27,30.35,0
65,Female,Ontario,12,127180.55,700,104937.37,10025.53,5378.04,1,0,0,0,0,0.0,40,33,0,1,0,1,15.22,16,37.55,0
22,Female,British Columbia,3,25000.0,850,0.0,2055.57,3084.31,3,1,0,0,0,462.83,19,32,6,1,1,0,3.01,51,23.55,0
39,Female,Alberta,2,55508.06,653,48194.6,4923.48,3486.52,1,1,1,0,0,1361.22,37,26,8,3,0,0,1.87,17,33.15,1
73,Male,Ontario,11,123030.09,671,42742.73,9997.13,4095.06,2,1,0,0,1,1597.02,41,1,3,3,0,1,-20.86,37,27.0,0
46,Female,Alberta,10,71808.29,822,32131.21,5573.08,3908.6,2,1,0,0,0,1166.19,23,26,0,4,0,0,-7.39,30,24.05,1
33,Male,Ontario,2,123309.15,642,20621.18,10465.11,1924.32,1,1,1,0,0,3481.88,34,15,5,1,2,0,-17.08,25,27.35,0
32,Male,Ontario,3,74282.22,531,7030.08,6285.99,622.52,3,0,1,0,0,0.0,17,29,8,2,0,0,14.51,25,21.2,0
40,Female,Ontario,8,25000.0,695,35344.76,1242.45,4153.71,1,0,1,1,0,0.0,27,8,6,2,0,0,-3.3,1,20.35,0
44,Male,Quebec,14,85652.29,536,59762.36,6424.02,4942.45,3,1,0,0,0,2922.53,25,1,0,1,0,1,-1.77,32,16.6,0
58,Male,Quebec,9,86547.9,666,53766.85,7235.13,1396.68,2,1,0,0,1,199.85,41,16,0,3,0,0,3.94,33,32.25,0
29,Female,British Columbia,14,92171.96,632,50458.2,7480.21,2245.79,2,1,0,0,1,1853.84,43,13,0,0,0,1,-1.51,34,32.5,0
64,Male,Quebec,8,75646.14,624,69401.45,6889.04,3765.86,2,0,1,0,0,0.0,26,29,1,1,0,0,-9.64,54,27.05,0
69,Female,Ontario,7,64663.92,724,82729.42,5320.75,3920.54,1,1,0,0,0,1779.73,27,10,2,2,0,0,0.15,54,21.05,0
43,Female,British Columbia,2,67284.58,598,25368.71,5986.63,1738.17,2,0,0,0,0,0.0,24,12,8,0,0,0,-15.15,47,19.8,0
46,Male,Quebec,7,70130.69,698,8082.66,5431.24,3118.06,2,1,0,0,0,1675.6,5,21,2,4,0,2,-6.16,37,10.6,1
35,Female,Alberta,10,97981.52,578,68478.75,9447.71,360.19,2,0,0,0,1,0.0,31,3,4,2,0,0,5.8,42,21.2,0
41,Male,Ontario,3,129343.38,749,14088.37,11125.57,1049.88,3,1,1,0,0,2523.13,43,10,3,0,0,0,-4.81,20,31.45,0
64,Female,Ontario,7,110212.78,580,46246.04,9351.03,1774.83,3,1,0,0,1,1545.4,37,17,1,1,1,0,12.58,44,30.0,0
71,Male,Ontario,14,25000.0,616,50232.39,1925.87,4570.5,3,1,0,1,0,1548.56,7,8,1,2,0,0,-6.69,22,7.35,0
66,Male,Ontario,3,108095.13,661,53715.99,9341.2,1178.19,3,0,0,0,0,0.0,4,11,6,2,1,0,-21.22,29,6.45,0
34,Female,British Columbia,14,107259.66,605,51147.19,8965.94,2946.96,2,1,0,0,0,2404.68,27,28,8,1,1,0,3.93,44,27.35,0
36,Female,Ontario,8,161984.31,701,21017.44,13584.8,4146.75,1,1,0,0,1,2676.98,9,26,7,1,0,0,10.16,5,14.95,0
70,Female,Alberta,15,64709.99,532,73594.06,4739.79,50.0,1,1,0,0,0,2141.71,32,8,7,4,1,0,-2.34,18,23.6,0
48,Male,Ontario,2,113223.41,717,33995.44,9702.21,5646.29,2,1,0,0,1,1610.31,20,2,3,3,1,1,-2.05,31,13.7,1
63,Male,Ontario,0,95416.58,773,61875.08,8559.13,1496.26,2,1,0,1,1,2067.09,4,33,0,0,1,1,-5.85,41,14.15,0
51,Male,Alberta,10,63031.8,745,70927.41,5870.5,1326.11,1,0,0,1,0,0.0,15,28,8,3,1,0,-2.4,22,19.55,1
66,Male,Alberta,2,74861.46,684,10635.94,6145.87,50.0,3,1,0,0,1,0.0,9,10,7,2,1,0,19.21,42,9.35,0
60,Female,Ontario,7,72845.77,650,56893.64,6618.64,3617.62,2,0,1,0,0,0.0,9,27,8,3,0,1,-21.08,43,15.3,0
49,Male,British Columbia,10,84450.62,668,33514.59,6713.34,3142.23,1,1,0,0,0,1850.94,4,33,0,3,0,2,-15.12,16,14.15,0
50,Male,Ontario,3,113428.59,647,78969.75,8957.87,2477.73,1,1,0,0,0,622.78,40,13,7,3,0,0,5.62,16,30.55,1
31,Male,Ontario,3,98072.14,607,53545.73,8013.43,2596.61,2,0,1,0,0,0.0,27,4,4,2,0,0,10.96,36,18.95,0
58,Female,Alberta,14,91760.36,599,53475.58,8846.05,1618.76,1,1,0,0,0,2396.0,2,13,5,0,0,0,12.04,16,5.85,0
55,Male,Ontario,7,77088.8,601,52134.16,6661.42,4452.99,1,1,1,0,0,3718.89,1,34,1,1,0,1,7.7,31,12.55,0
49,Male,Quebec,15,102064.91,770,88105.22,9182.59,5319.6,3,1,0,0,0,2164.87,24,33,3,2,0,1,-9.71,48,27.15,0
62,Female,Alberta,13,62652.55,815,15473.49,4609.93,2639.71,2,1,0,0,0,2595.72,38,5,1,0,1,1,6.81,14,26.45,0
21,Male,Alberta,8,116328.06,696,59242.41,9311.23,50.0,3,1,0,1,0,1251.76,3,22,1,1,0,0,-0.12,20,9.65,0
41,Male,British Columbia,10,75200.16,787,22020.05,6468.27,1625.3,3,1,0,0,0,1434.92,42,25,3,0,0,0,-2.86,23,36.05,0
49,Female,Alberta,8,119823.67,718,0.0,11107.99,4337.48,3,1,1,0,0,0.0,44,20,8,1,0,0,19.09,21,35.6,0
29,Male,British Columbia,13,83217.13,804,51197.58,7734.9,4087.58,2,1,0,0,0,946.02,28,3,0,4,0,0,-4.8,5,19.25,0
43,Female,British Columbia,15,71283.45,789,87557.65,5389.34,4611.96,2,0,0,0,0,0.0,29,12,5,2,1,0,-5.9,25,23.05,0
37,Male,Ontario,3,59865.28,746,16656.21,5019.27,4536.21,2,1,0,1,0,2266.92,25,17,3,1,0,0,27.05,28,22.2,0
28,Female,Ontario,1,69918.89,673,43725.89,6828.48,2714.04,2,1,1,0,1,2114.74,41,2,7,0,0,0,17.81,35,27.35,0
33,Female,Alberta,3,103690.77,850,41246.43,8799.23,3519.81,1,1,0,0,0,2355.57,20,8,0,5,0,0,-7.41,9,15.8,0
55,Female,Alberta,8,72035.28,737,0.0,6168.5,1535.27,1,1,0,0,0,2582.17,1,15,4,0,0,0,-14.21,22,5.9,0
75,Female,Ontario,9,53920.88,675,40793.39,5227.72,1067.51,2,0,1,0,0,0.0,9,34,1,3,0,0,-7.53,37,17.75,0
60,Male,Quebec,14,65692.36,696,39328.52,5029.29,2803.76,2,1,0,1,0,2461.38,43,15,1,2,1,0,-9.32,30,33.2,0
25,Male,Ontario,14,38110.05,462,43670.1,2400.08,213.67,2,1,0,0,0,1330.64,0,14,2,3,1,0,13.17,14,4.9,0
47,Female,British Columbia,4,87426.13,655,26543.44,7821.81,3412.1,2,1,1,0,0,3310.76,41,14,0,1,0,1,-23.91,20,31.55,0
